,audio,transcription,similarity
0,common_voice_en_637272.mp3,"Adult male voice with some kind of accent, there is wind noises in the background which lowers the audio quality and makes it harder to understand the speaker.",1
1,common_voice_en_637272.mp3,The emotional voice of an elderly male with a moderate and brief pronunciation. ,0
2,common_voice_en_18507286.mp3,"male teenager, nasal voice, a bit hard to understand, unclear pronounciation, ",1
3,common_voice_en_18507286.mp3,Adult female with low pitched and moody voice.,0
4,common_voice_en_22708327.mp3,"Adult female voice which sounds quite monotone and the speaker sounds bored, there is a slight echo.",1
5,common_voice_en_22708327.mp3,"adult male with accent, loud and deep voice",0
6,common_voice_en_28569683.mp3,"Young female voice which is a bit nasal, pronounciation is pretty clear maybe a tiny bit mumbled, quite flat and uninteresting.",1
7,common_voice_en_28569683.mp3,The guy with a possible British accent speaks fast and semi-monotone.His voice is medium pitched.,0
8,common_voice_en_20174323.mp3,"Brittish accent, young female voice, formal, clear and easy to understand pronounciation even though harder words are used, there is a slight humming noise in the background.",1
9,common_voice_en_20174323.mp3,Young male with clear pronunciation and a bit high-pitched voice speaks calmly.,0
10,common_voice_en_26979259.mp3,"Indian male voice, adult, emotionless and monotone, slow speech with pauses.",1
11,common_voice_en_26979259.mp3,Elderly woman with British accent is speaking with pauses while kids are playing in the background.,0
12,p284_405_mic1.flac,"Very clear adult male voice, speech is on the faster side but the pronounciation remains clear and convincing, the message put out is clear and well understood.",1
13,p284_405_mic1.flac,Young female speaking distinctly with a higher pitched voice.,0
14,p306_283_mic1.flac,"Low young female voice, hard to understand, mumbled pronounciation, slow speech, almost sleepy.",1
15,p306_283_mic1.flac,Elder female with passionate s peach speaks with lowered voice,0
16,common_voice_en_155965.mp3,"Adult female with an accent, very hard to understand, unclear pronounciation.",1
17,common_voice_en_155965.mp3,Adult male with British accent speaks in clear formal tone.,0
18,common_voice_en_19499555.mp3,Foreign young male adult talking slowly and trying to pronounce as clearly as possible because there is background noise of other people talking.,1
19,common_voice_en_19499555.mp3, Adult female with a very serious and montone voice and clear pronunciation,0
20,common_voice_en_656614.mp3,"Unclear if the voice belongs to a male or a female, the pronounciation is unclear which makes it hard to understand what they are saying, possible accent.",1
21,common_voice_en_656614.mp3,Elderly male low pitched voice with convincing speech and clear pronunciation making pauses while speaking.,0
22,common_voice_en_24153495.mp3,"flat monotone male voice, young adult, unclear pronoounciation, hard to understand, pause in speech",1
23,common_voice_en_24153495.mp3,Adult male with deep low-pitched voice speaking confidently,0
24,common_voice_en_25670779.mp3,"serious voice, older male, hard to undertand, bad audio quality",1
25,common_voice_en_25670779.mp3,Adult male with German accent and neutral voice.,0
26,common_voice_en_61504.mp3,"Foreign young female voice, speech is fast and clear, maybe a tiny bit hard to understand a few words, quite lively.",1
27,common_voice_en_61504.mp3,Adult male deep pitched voice in a echoing room.,0
28,common_voice_en_18696253.mp3,"Adult female voice, voice is clear, easy to understand and words are pronounced very accurately and mindfully which makes the speech a bit slow.",1
29,common_voice_en_18696253.mp3,Adult male voice with unclear pronunciation and monotone speech.,0
30,common_voice_en_20598558.mp3,"deep male voice, elderly, English, very clear pronounciation, serious",1
31,common_voice_en_20598558.mp3,"Deep male voice, adult, slow speech with pauses, very monotone and rehearsed, clear pronounciation, formal speech.",0
32,common_voice_en_26950821.mp3,"Deep male voice, adult, slow speech with pauses, very monotone and rehearsed, clear pronounciation, formal speech.",1
33,common_voice_en_26950821.mp3,Clear older female voice with an american accent,0
34,common_voice_en_19638359.mp3,"Young emotionless male voice, slow speech with short pauses, humming in the background and tincan sound.",1
35,common_voice_en_19638359.mp3,"A low-pitched middle-aged man, with clear pronunciation and a friendly voice.",0
36,common_voice_en_610679.mp3,"Adult male voice, audio volume is very low, speech itself is quite clear and well pronounced, voice is a bit flat and emotionless.",1
37,common_voice_en_610679.mp3,"Unclear if the voice belongs to a male or a female, the pronounciation is unclear which makes it hard to understand what they are saying, possible accent.",0
38,common_voice_en_100929.mp3,Old male flat voice reading off of something because the speech is unnatural and it's a bit hard to understand him because of the audio quality.,1
39,common_voice_en_100929.mp3,Adult male speaking with a high-pitched expressive voice in a surprised tone. ,0
40,common_voice_en_25549806.mp3,Adult female  with clam voice and convincing tone,1
41,common_voice_en_25549806.mp3,Younger man speaks fast and clearly with tenor voice.,0
42,common_voice_en_24683528.mp3,Adult female with British accent and convincing speech,1
43,common_voice_en_24683528.mp3,Adult male with low pitched deep voice and monotone speech,0
44,common_voice_en_687997.mp3,Adult male with piercing voice and dull speech,1
45,common_voice_en_687997.mp3,mature male with flat voice,0
46,common_voice_en_32679130.mp3,Adult male with low pitched voice and emotionlesss voice and convincing speech,1
47,common_voice_en_32679130.mp3,An adult man with squeaky voice  stumbles while speaking ,0
48,p268_054_mic1.flac,Adult female with low pitched voice and serious confident speech,1
49,p268_054_mic1.flac,Adult male voice is speaking monotously.,0
50,common_voice_en_495439.mp3,Mature male with deep voice and confident speech speaking slowly,1
51,common_voice_en_495439.mp3,"A young male with a calm, flat, and low-pitched voice speaks convincingly.",0
52,common_voice_en_20070956.mp3,Adult female with soft voice and convincing speech,1
53,common_voice_en_20070956.mp3,Elderly male deep voice with convincing speech.,0
54,common_voice_en_17412803.mp3,Adult male with curious voice,1
55,common_voice_en_17412803.mp3,Adult female with low pitched and moody voice.,0
56,p246_003_mic1.flac,Adult male with clear pronunciation and confident speech,1
57,p246_003_mic1.flac,"Young woman with childlike cartoonish voice, sounds excited.",0
58,common_voice_en_32111271.mp3,Adult male with emotionless voice and calm speech,1
